property_type,location,price,features
2 Bedroom Apartments,"Banana Island, Ikoyi, Lagos","11,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
3 Bedroom Apartments,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
Spacious Three Bedroom Pent Flat With Bq.,"Ikota, Lekki, Lagos","3,000,000",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Magnificent Brand New 2 Bedroom Flat,"By Lbs, Lekki, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save
Fully Service Mini Flat,"Oniru, Victoria Island (VI), Lagos","1,200,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Luxury Claean 2 Bedroom Flat.,"Behind Skymall, Ajah, Lagos","950,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
Neatly Maintained Self Service 3 Bedroom Flat,"Lekki Right., Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Luxury Apartment,"Parkview Estate, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Apartment Ideal For A Coporate Tenant,"Banana Island, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built Room & Parlor Self Contianed,"Unity Estate, Agric, Ikorodu, Lagos","220,000 per annum",1 Bedroom1 Bathroom1 Toilet8 Parking Spaces Save
A 3 Bedroom Flat Upstairs Back,"Babs Animashu Street Surulere, Bode Thomas, Surulere, Lagos","1,300,000 per annum",3 Bedrooms3 Bathrooms2 Toilets2 Parking Spaces Save
4 Bedroom Flat,"Off Estate Road, Alapere, Ketu, Lagos","650,000 per annum",4 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
Tastefully Finished 3 Bedroom Flats With Breathtaking Ocean Views,"Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Apartment,"Off Rockdrive, Lekki Phase 1, Lekki, Lagos","2,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Self Contained,"Idado, Lekki, Lagos","500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
6 Rooms Office Space,"Oregun Road, Oregun, Ikeja, Lagos","1,400,000 per annum",6 Bedrooms2 Bathrooms2 Toilets Save
Brand New 2 Bedroom Flat,"Canan Estate /blenco, Sangotedo, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save
Fully Service 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Now Letting: 2no. Flats Of 2-bedroom Flat.,"Oba Lateef Adams Estate, Iloro, Dopemu, Agege, Lagos","750,000 per annum",2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
3 Bedrooms Luxury Apartment Ideal For A Coporate Tenant,"Old Ikoyi, Ikoyi, Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Spacious 3 Bedroom Flat In An Estate,"Awolowo Way, Ikeja, Lagos","3,000,000 per annum",3 Bedrooms2 Bathrooms3 Toilets Save
Lovely 3 Bedroom Apartment,"Around Blenco Supermarket, Sangotedo, Ajah, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Fully Service 3 Bedroom Flat,"Victoria Island Extension, Victoria Island (VI), Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
One Bedroom Mini Flat (penthouse),"Idowu Martin's Street, Victoria Island (VI), Lagos","2,500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Fully Serviced And Furnished 3 Bedroom Flat,"Antony Village, Ikeja, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury Service 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","2,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Executive Newly Built Mini Flat,"Off Haruna Street, Ogba, Ikeja, Lagos","500,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
A Lovely Luxury Big 2 Bedrooms Flat,"Onike, Yaba, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat With Bq,"Victoria Island Extension, Victoria Island (VI), Lagos","6,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
4 Bedroom Flat Apartment,"Morekete, Igbogbo, Ikorodu, Lagos","300,000 per annum",4 Bedrooms4 Bathrooms4 Toilets1 Parking Space Save
Brand New 3 Bedroom Flat,"Lekki Palm City Estate, Opposite Eco Bank, Thomas Estate, Ajah, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save
3 Bedroom Flat Ensuite With Pop Finishing,"Scheme 1 Estate, Oko-oba, Agege, Lagos","1,000,000 per annum",3 Bedrooms4 Toilets Save
Serviced 3bedroom Flat,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Service Apartment With A Maids Room,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Newly Built Room Self Contained,"Olowora Axis, Omole Phase 2, Ikeja, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet500 sqm Total Area Save
Nice And Standard Self Contained,"Agungi, Lekki, Lagos","400,000 per annum",1 Bedroom Save
3 Bedroom Flat,"Akiode, Ojodu, Lagos","700,000 per annum",3 Bedrooms2 Bathrooms3 Toilets Save
Executive Three Bedroom Flat,"Green Estate, Magboro, Ogun","350,000 per annum",3 Bedrooms4 Bathrooms4 Toilets6 Parking Spaces Save
Brand New Luxurious 1 Bedroom Flat,"Off Freedom Way., Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",1 Bedroom1 Bathroom2 Toilets15 Parking Spaces Save
Brand New Standard 3 Bedroom Flat,"Lbs, Lekki Expressway, Lekki, Lagos","1,400,000 per annum",3 Bedrooms4 Bathrooms4 Toilets8 Parking Spaces Save
3 Bedroom Flat,"Eruwen, Ikorodu, Lagos","400,000 per annum",3 Bedrooms4 Toilets Save
Renovated Mini Flat All Tiles Floor Big Compound,"Itele Ogun State Close To Ayobo, Ipaja, Lagos","120,000 per annum",1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save
Single Block Of Ten (10) Luxury 3 Bedroom Apartments,"Within Banana Island Estate, Banana Island, Ikoyi, Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Block Of 12 Unit Of 4 Bedroom Luxury Apartments (fully Serviced),"Off Adeola Odeku Way, Victoria Island (VI), Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Luxurious 4 Bedroom Apartment (fully Serviced),"Off Adeola Odeku Road, Victoria Island (VI), Lagos","60,000 per annum 
approx. ₦23,955,749",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Fully Furnished 3 Bedroom Apartment With State-of-the-art Facilities,"Off Ahmadu Bello Way, Victoria Island (VI), Lagos","125,000 per annum 
approx. ₦49,907,810",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury And 'smart' 3 Bedroom Apartment,"Residential Zone, Banana Island, Ikoyi, Lagos","18,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Fully Furnished Upscale 4 Bedroom Apartment,"Off Adeola Odeku Way, Victoria Island (VI), Lagos","82,000 per annum 
approx. ₦32,739,523",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Fully Furnished Upscale 5 Bedroom Pent-floor Maisonette,"Off Adeola Odeku Road, Victoria Island (VI), Lagos","130,000 per annum 
approx. ₦51,904,123",5 Bedrooms6 Bathrooms7 Toilets3 Parking Spaces Save
Fully Furnished Upscale 2 Bedroom Apartment,"Off Adeola Odeku Way, Victoria Island (VI), Lagos","60,000 per annum 
approx. ₦23,955,749",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Flat With Necessary Facilities,"Agbede Transformer, Agric., Ita Oluwo, Ikorodu, Lagos","150,000 per annum",2 Bedrooms1 Bathroom1 Toilet4 Parking Spaces Save
Luxury One Bedroom Flat,"Crown Court Estate, Oniru, Victoria Island (VI), Lagos","1,500,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
1 Bedroom Flat (unfurnished),"Victoria Island (VI), Lagos","2,500,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Self Contained,"Canaan Estate, Sangotedo, Ajah, Lagos","350,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
A Lovely Luxury Bigger Room Self Contained,"Yaba, Lagos","400,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Serviced Brand New 3 Bedrooms Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Nice And Standard Self Contained,"Estate, Idado, Lekki, Lagos","600,000 per annum",  Save
Luxurious 3 Bedroom Penthouse,"Eko Atlantic City, Lagos","80,000 per annum 
approx. ₦31,940,998",3 Bedrooms3 Bathrooms4 Toilets Save
Luxurious 2 Bedroom Flat,"Eko Atlantic City, Lagos","60,000 per annum 
approx. ₦23,955,749",2 Bedrooms2 Bathrooms3 Toilets Save
2 Bedroom Flat (unfurnished),"Oniru, Victoria Island (VI), Lagos","3,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
One Room Self Shared Apartment,"Rock Stone/seaside Estate Badore Ajah, Badore, Ajah, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
Nice And Standard Self Contained,"Estate, Agungi, Lekki, Lagos","400,000 per annum",1 Bedroom Save
Furnished 3 Bedroom Apartment,"Temple Road, Ikoyi, Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
"A Spacious Room Self In A Duplex Shared Apartment, Only Kitchen Shared","Unity Estate Badore Road, Badore, Ajah, Lagos","200,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
Newly Renovated 3 Bedrooms Apartments.,"Yetunde Brown, Gbagada, Lagos","1,000,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Luxury Penthouse 3bedroom Apartment With A Pool And Elevator,"Lekki Phase 1, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Brand New 2 Bedroom,"Orchid, Lafiaji, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Luxury 3 Bedroom Flat,"Victoria Island Extension, Victoria Island (VI), Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 2 Bedrooms Apartment In A Lovely Estate,"1004 Estate, Victoria Island (VI), Lagos","3,500,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat,"Alausa, Ikeja, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
Neatly Maintained 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat With All Rooms En-suite,"Alausa Estate By Secretariat, Alausa, Ikeja, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Miniflat Bq,"Lekki Phase 1, Lekki, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Brand New 6 Units Of 3 Bedroom Flats,"Sangotedo, Ajah, Lagos","15,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets15 Parking Spaces Save
3 Bedroom,"By Pretrocam Lagos Business School, Sangotedo, Ajah, Lagos","900,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
New House 2 Bedroom All Rooms Ensuite,"Greenville Estate, Ijoyi, Badore, Ajah, Lagos","600,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
3 Bedroom Luxury Apartments With Bq,"Off Glover Road,lkoyi, Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets200 sqm Total Area Save
4 Bedroom Luxury Apartments With Bq,"Gerrard Road Ikoyi,, Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets200 sqm Covered Area Save
4 Bedroom Luxury Penthouse Apartment With Excellent Facilities,"Banana Island, Ikoyi, Lagos","18,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Penthouse With A Service Quarters,"Eko Atlantic City, Lagos","90,000 per annum 
approx. ₦35,933,623",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Spacious 1 Room Self Contained With Kitchen,"Cammellian Homes By Chevron Alternative Route, Lekki, Lagos","550,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
"A Newly Built 2 Bedrooms Apartment, Very Sharp With A Pop","Anu Crescent, Opposite Fort Oil Filling Station Badore Road, Badore, Ajah, Lagos","800,000 per annum",2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Luxury 3 Bedroom Flat With Excellent Features,"Off Bourdillon Road, Ikoyi, Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Very Spacious And Well Maintained 3 Bedroom Apartment,"Canal West Estate, Osapa, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
A Decent Room Self Contained,"Palmgrove, Shomolu, Lagos","300,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Studio Apartment,"Shoprite Road, Jakunde, Osapa, Lekki, Lagos","14,000,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
"Brand New, Exquisite 3 Bedroom Flat With Bq","Victoria Island (VI), Lagos","4,000,000 per annum",3 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Nice 3 Bedrooms Flat(6 Units),"Off Palace Road, Oniru, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Nice 3 Bedrooms Flat With Bq In A Nice Estate,"Pearly Estate, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms Save
3 Bedroom,"Ikate Elegushi, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Three Bedroom Flat Upstairs,"Sangotedo, Ajah, Lagos","1,300,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Flats For Residence /office Building,"Sango Ota, Along Lagos-abeokuta Expressway, Km 42, Ado-Odo/Ota, Ogun","300,000 per annum",2 Bedrooms Save
Serviced Miniflat,"Nicon Town, Lekki, Lagos","1,500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Beautifully Built 2 Bedroom Flat,"Southern Lake Estate Off Spg Road Lekki Lagos, Ologolo, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxurious 3 Bedroom Apartment,"Eko Atlantic City, Eko Atlantic City, Lagos","70,000 per annum 
approx. ₦27,948,374",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 4 Bedroom Apartment With State-of-the-art Facilities,"Ocean Parade Towers, Banana Island, Ikoyi, Lagos","20,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Luxury 3 Bedroom Apartment With State-of-the-art Facilities,"Off Osborne Road, Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Rasaq Eletu Off Shoprite Road Osapa Lekki Lagos, Osapa, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Well Furnished 2 Bedroom Flat,"17, Ade Dollars Street, Okunuga, Off Offin Road, Ikorodu , Lagos., Igbogbo, Ikorodu, Lagos","180,000 per annum",2 Bedrooms1 Bathroom1 Toilet4 Parking Spaces Save
Well Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets1 Parking Space Save
Mini Flat,"Off Ajayi Road Ogba Lagos, Ogba, Ikeja, Lagos","350,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Brand New 3 Bedroom Flat,"Odogunyan, Ikorodu, Lagos","500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets Save
Well Finished 1 Bedroom Mini Flat,"Bera/bakare Estate Chevron, Lekki, Lagos","1,200,000 per annum",1 Bedroom2 Bathrooms2 Toilets4 Parking Spaces Save
Lovely 2 Bedroom Flat,"Bera/bakare Estate, Chevron Drive, Lekki, Lagos","1,700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save
3 Bedrooms Flat,"Crommwell Court Estate, Chevron Drive, Lekki, Lagos","2,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Virgin Room And Parlour Self Contained,"Kolawole Street Along Bayeku Road., Igbogbo, Ikorodu, Lagos","100,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Mini Flat,"Jakande, Lekki, Lagos","900,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
4 Bedroom Smart And Luxury Waterfront Apartments,"Victoria Island (VI), Lagos","150,000 per annum 
approx. ₦59,889,372",4 Bedrooms4 Bathrooms4 Toilets Save
3 Bedroom Smart And Luxury Waterfront Apartments,"Victoria Island (VI), Lagos","80,000 per annum 
approx. ₦31,940,998",3 Bedrooms3 Bathrooms3 Toilets Save
Spacio Reus Mini Flat,"Ajiwe, Ajah, Lagos","450,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Ground Floor Flat,"24 Soji Olagunju Street Off Alpha Beach Road Igbo Efon Lekki Lagos Nig, Igbo Efon, Lekki, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Serviced And Furnished Room Self Contained In A Gated Street.,"Alausa, Ikeja, Lagos","750,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Flat With Bq,"Victoria Island Extension, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Lovely Room Self Contained,"Shllyon Street, Palmgrove, Ilupeju, Lagos","300,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
Luxury 3 Bedroom Luxury Apartment,"Gerrard Road, Old Ikoyi, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 2 Bedroom Service Flat,"Berlin Close By Chevron Alternative Road, Chevron Drive, Lekki, Lagos","1,800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
3-bedroom Flat (ground Floor),"Victoria Island, Victoria Island (VI), Lagos","40,000 per annum 
approx. ₦15,970,499",3 Bedrooms3 Bathrooms3 Toilets Save
3-bedroom Flat (1st Floor),"Victoria Island, Victoria Island (VI), Lagos","45,000 per annum 
approx. ₦17,966,812",3 Bedrooms3 Bathrooms3 Toilets Save
3 Bedroom Flat (2nd Floor),"Victoria Island, Victoria Island (VI), Lagos","50,000 per annum 
approx. ₦19,963,124",3 Bedrooms3 Bathrooms3 Toilets Save
4 Bedroom Apartment,"Victoria Island, Victoria Island (VI), Lagos","60,000 per annum 
approx. ₦23,955,749",4 Bedrooms4 Bathrooms4 Toilets Save
3 Bedroom Luxury Apartments,"Old Ikoyi, Ikoyi, Lagos","80,000 per annum 
approx. ₦31,940,998",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Flat,"Osapa, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Brand New 3 Bedroom Flat,"Ikate Elegushi, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxurious 2 Bedroom Flat,"Off Freedom Way., Lekki Phase 1, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets15 Parking Spaces Save
2 Bedroom Luxury Apartments With Excellent Facilities,"Banana Island, Ikoyi, Lagos","12,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Standard 3 Bedroom Flat,"Igbo Efon, Lekki, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
2 Bedroom Flat,"Lekki, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
4 Bedroom Flats,"Victoria Island, Victoria Island (VI), Lagos","18,000,000 per annum",4 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flats,"Victoria Island, Victoria Island (VI), Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
4 Bedroom Terrace,"Off Bourdillon, Ikoyi, Lagos","13,000,000 per annum",4 Bedrooms4 Bathrooms4 Toilets Save
Brand New 14 Units 3 Bedroom,"Victoria Island (VI), Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
3 Bedroom Flats,"Victoria Island (VI), Lagos","10,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
Luxury 3 Bedroom Terraced Duplex,"Victoria Island Extension, Victoria Island (VI), Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedrooms Flat,"Off Olopa Bus-stop, Iju-Ishaga, Agege, Lagos","350,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Nice And Standard Self Contained,"Igbo Efon, Lekki, Lagos","350,000 per annum",  Save
3 Bedroom Flat,"Canal West, Osapa, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Flat (upstairs),"Good New Estate, Sangotedo, Ajah, Lagos","1,400,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Spacious Mini Flat,"Jakande, Lekki, Lagos","650,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Luxury Apartments With Excellent Facillities,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Apartment,"Ikota, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3bedroom Flat,"Ojodu Axis, Ojodu, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets9 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With Maid Room,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
8 (nos) 3 Bedroom Flats Serviced With Swimming Pool,"Banana Island, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
8 (nos) 4 Bedroom Flats Serviced With Swimming Pool,"Banana Island, Ikoyi, Lagos","8,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
Luxury 3bedroom Flat + Bq,"Gen. Ogomudia Blvd, At&d Court, Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
Luxury 2bedroom Flat,"Jibrin Estate, Olokonla, Ajah, Lagos","700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save
Mini Flat,"Ikate Elegushi, Lekki, Lagos","1,300,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
12 Units Of 4 Bedroom Luxury Maisonette With A Room Bq Each,"Road 2, Banana Island,lagos., Banana Island, Ikoyi, Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
A Premium Four (4) Bedroom Pent House With Two (2) Rooms Boys Quarters,"Kofo Abayomi Street, Victoria Island (VI), Lagos","25,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
"3 Bedroom Luxury Apartments With Gourmet Kitchen ,large Living Room.","Parkview, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Brand New Service 3 Bedroom Flat,"Lekki Right, Lekki Phase 1 Lagos., Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat With Bq,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
8 Units 2-bedroom Flats,"Kudirat Adenekan Avenue, Canoe, Near Ajao Estate Int'l Airport Road, Oke Afa, Isolo, Lagos","600,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Luxury Apartments,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Four Bedroom Flat With Bq,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 2 Bedroom Flat With Big Modern Kitchen,"Lawal Oduleye Street., Oniru, Victoria Island (VI), Lagos","3,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets15 Parking Spaces Save
Luxury 3 Bedroom Flat With Massive 180 Degrees Beach View,"Beach View, Victoria Island Extension, Victoria Island (VI), Lagos","18,500,000 per annum",4 Bedrooms4 Bathrooms4 Toilets50 Parking Spaces Save
Luxury 3 Bedroom Apartment,"Merit Residences, Adeniyi Jones, Ikeja, Lagos","3,500,000 per annum",3 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Fully Serviced 3 Bedroom Flat With Bq,"Safecourt Estate Ikate Lekki Lagos, Ikate Elegushi, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
Nice And Standard Self Contained,"Idado, Lekki, Lagos","700,000 per annum",1 Bedroom Save
Nice And Standard Self Contained,"Idado, Lekki, Lagos","900,000 per annum",1 Bedroom Save
Fully Serviced 2 Bedroom Flat,"Paradise Estate Opposite Ebano Supermarket,chevron, Chevy View Estate, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Brand New 3 Bedroom Flat,"Gra By Adeniyi Jones, Ogba, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
